fidget	坐立不安	[ˈfɪdʒɪt]
litter	垃圾	 [ˈlɪtə(r)] 
reverse	反转，倒退	 [rɪˈvɜ:s] 
snore	打呼噜	[snɔ:(r)] 
squash	挤进	 [skwɒʃ] 
buckle	扣环	[ˈbʌkl] 
horn	喇叭	 [hɔ:n] 
transmission	传动装置	[trænsˈmɪʃn]
chauffeur	为别人当汽车司机	 [ˈʃəʊfə(r)]
glove	手套	[glʌv]
dash	猛冲，破折号	 [dæʃ] 
gridlock	交通全面大堵塞	[ˈgrɪdlɒk] 
jaywalk	擅自穿越马路	[ˈdʒeɪwɔ:k]
junction	接合点	[ˈdʒʌŋkʃn] 
patrol	巡逻	[pəˈtrəʊl] 
retreat	撤退	[rɪˈtri:t] 
withdraw	撤退	[wɪðˈdrɔ:]
inject	注射	 [ɪnˈdʒekt]
transmit	传输	[trænsˈmɪt]
infrastructure	基础设施	[ˈɪnfrəstrʌktʃə(r)]
debate	辩论	[dɪˈbeɪt] 
broker	代理人	 [ˈbrəʊkə(r)]
distinct	有区别的；明显的	[dɪˈstɪŋkt]
inverse	相反的	 [ˌɪnˈvɜ:s] 
subscribe	签署	 [səbˈskraɪb] 
mechanism	机制	[ˈmekənɪzəm]
abnormal	反常的	 [æbˈnɔ:ml] 
standalone	独立的	 ['stændəˌləʊn] 
vender/vendor	售卖者	['vendə] 
consist	由…组成	 [kənˈsɪst]
burden	负担	 [ˈbɜ:dn]
conservative 	保守的人	[kənˈsɜ:vətɪv] 
conserve	保护	 [kənˈsɜ:v]
preserve	保护	[prɪˈzɜ:v]
assume	假定	[əˈsju:m]
collapse	崩溃	[kəˈlæps] 
construct	建造	 [kənˈstrʌkt] 
crumble	弄碎	[ˈkrʌmbl] 
erode	侵蚀	[ɪˈrəʊd]
rumble	隆隆声	[ˈrʌmbl] 
toll	通行费	[təʊl]
abutment	桥礅	 [ə'bʌtmənt] 
brick	砖	[brɪk] 
cement	水泥	 [sɪˈment] 
concrete	混凝土	 [ˈkɒŋkri:t] 
barrier	栅栏	[ˈbæriə(r)]
beam	梁	 [bi:m] 
culvert	涵洞	 [ˈkʌlvət] 
log	日志，伐木	 [lɒg]
steel	钢	 [sti:l] 
booth	隔开的小间	 [bu:ð] 
vagabond	流浪者	 [ˈvægəbɒnd] 
excavator	挖掘机	[ˈekskəveɪtə(r)] 
trunk	树干	[trʌŋk]
truck	货车	 [trʌk] 
hawk	鹰，叫卖	 [hɔ:k] 
aqueduct	沟渠	 [ˈækwɪdʌkt] 
lane	车道	 [leɪn]
graffiti	涂鸦	[grəˈfi:ti] 
rubber	橡胶，避孕套	 [ˈrʌbə(r)] 
wander	（道路或河流）蜿蜒曲折；漫步	 [ˈwɒndə(r)] 
tactile	触觉的	 [ˈtæktaɪl] 
shelter	避难所	[ˈʃeltə(r)]
con	反对票	 [kɒn] 
tramp	流浪汉	[træmp]
tarpaulin	防水帆布	[tɑ:ˈpɔ:lɪn]
clog	堵塞	 [klɒg] 
peddle	叫卖	[ˈpedl]
illuminate	照亮	[ɪˈlu:mɪneɪt] 
fortune	幸运	[ˈfɔ:tʃu:n]
palm	手掌	[pɑ:m]
peddler	毒贩	[ˈpedlə(r)] 
vagrant	流浪者	[ˈveɪgrənt] 
cock	公鸡	[kɒk] 
roach	蟑螂	 [rəʊtʃ] 
dust	灰尘	[dʌst]
bin	容器	[bɪn]
rat	老鼠	 [ræt]
barricade	路障	[ˌbærɪˈkeɪd] 
hitchhiker	搭便车的人	 [ˈhɪtʃhaɪk] 
gobble	狼吞虎咽地吃	[ˈgɒbl] 
nursery	婴儿室	[ˈnɜ:səri]
troop	一群	[tru:p]
trooper	伞兵，骑兵	 [ˈtru:pə(r)] 
janitor	看门人	 [ˈdʒænɪtə(r)] 
stallman	摊贩	 ['stɔ:lmən]
deli	熟食店	 [ˈdeli] 
beverage	饮料	[ˈbevərɪdʒ]
dismount	下车	[dɪsˈmaʊnt] 
trespass	非法侵入	 [ˈtrespəs] 
bump	 碰撞	[bʌmp]
bumper	保险杠	[ˈbʌmpə(r)] 
fender	挡泥板	[ˈfendə(r)] 
spare	备用的，节省	 [speə(r)] 
attendant	服务人员	[əˈtendənt] 
valet	侍者	[ˈvæleɪ]
trespasser	侵入者	[ˈtrespəsə(r)]
dispense	分配	 [dɪˈspens]
shrink	收缩	[ʃrɪŋk] 
inflate	膨胀	[ɪnˈfleɪt] 
pump	泵	 [pʌmp]
spill	溢出	[spɪl] 
tap	水龙头	 [tæp] 
hose	软管	 [həʊz]
nozzle	喷嘴	[ˈnɒzl]
sanitary	公共厕所，清洁的	 [ˈsænətri]
jockey	操作者;欺骗	 [ˈdʒɒki] 
mechanic	技工	 [məˈkænɪk] 
lubricant	润滑油	 [ˈlu:brɪkənt] 
couch	长沙发椅	[kaʊtʃ] 
stereo	立体声的	 [ˈsteriəʊ] 
carpet	地毯	 [ˈkɑ:pɪt] 
cushion	垫子	[ˈkʊʃn]
cabinet	柜橱	[ˈkæbɪnət] 
rug	小块地毯	 [rʌg] 
imitation	仿制品	 [ˌɪmɪˈteɪʃn] 
sitcom	情景喜剧	[ˈsɪtkɒm] 
antenna	天线	[ænˈtenə] 
commercial	商业的，广告	 [kəˈmɜ:ʃl] 
episode	一集	[ˈepɪsəʊd]
finale	结局	 [fɪˈnɑ:li] 
outlet	出口	 [ˈaʊtlet] 
premiere	首映	 [ˈpremieə(r)]
prime	首要的	 [praɪm]
subtitle	小标题，字幕	[ˈsʌbtaɪtl]
anchor	锚，在…任节目主持人	 [ˈæŋkə(r)]
squeeze	挤	[skwi:z] 
mug	马克杯	 [mʌg]
